"ID","N2_set6","N2_set5","e113_set6","e113_set5","padj","log2FoldChange","pvalue","stat","foldChange","log10padj"
"WBGene00013008",23.0618441672244,19.1674207979458,199.050721738791,105.249198075269,6.1791090161258e-05,2.84553848062561,2.03369959452919e-06,22.5629409946362,7.18774128049695,4.20907414259344
"WBGene00013037",220.591552903886,167.99680581729,497.626804346977,454.368489251771,0.00219125353596173,1.29148119223113,0.00022654376736342,13.5970290768298,2.44779237554349,2.65930737008928
"WBGene00013074",125.336109604481,139.809422290899,311.514379521208,440.677536656614,0.00118909450665585,1.50550837515452,0.000106205162267736,15.0230653784506,2.83924702662006,2.92478362722482
"WBGene00013083",426.142772655234,509.627894157148,1096.76947678074,860.818644420493,0.00851140932883078,1.06493666863469,0.00121782491370369,10.4631037524168,2.09207803961682,2.06999852298727
"WBGene00013104",68.1828436248375,36.0798509137804,228.90832999961,142.043633174753,0.0070576256800847,1.82648182728589,0.000970362578588368,10.8832798570826,3.5467111197367,2.1513413793261
"WBGene00013180",36.0967995660904,49.609795006448,550.375245607757,432.120691284641,8.88360152211928e-14,3.5222923538703,2.5109105489314e-16,67.1541118902342,11.4898842081826,13.051410930158
"WBGene00013216",133.357620619167,242.411498326962,503.598325999141,556.194949178251,0.00432280233474266,1.49755171399985,0.000532799494422951,11.9972207018294,2.82363129063806,2.36423462264196
"WBGene00013312",62.1667103638224,57.5022623938375,190.093439260545,195.096074480986,0.000440410058964072,1.68590332981554,2.79941573815489e-05,17.5493832183601,3.2174178880994,3.35614277030269
"WBGene00013321",299.803974173918,306.678732767133,631.986041520661,597.267806963721,0.0053626915470652,1.01921075912729,0.000695219857618402,11.5019828707081,2.02680986945737,2.27061718220158
"WBGene00013438",87.2339322847185,69.9047111454495,342.36724139072,347.407922102107,1.08248699100467e-06,2.13231793092175,1.42781400735494e-08,32.1491193191247,4.38421312119691,5.96557731416059
"WBGene00013450",25.0672219208961,48.4822996653924,147.297534086705,142.899317711951,0.00207388693478712,1.98563226601882,0.000212586111272695,13.716434049259,3.96036188748617,2.68321492438697
"WBGene00013458",141.379131633854,262.706414465963,697.672779694462,541.648312045896,0.00284045589692533,1.61800740272969,0.000319352807957813,12.9533307589586,3.06950794216285,2.54661194952021
"WBGene00013481",822.204879005393,1117.34788298614,5786.40448094665,5952.14164074448,8.3975038287778e-13,2.59776539328294,2.74273097855942e-15,62.4429701080695,6.05348269273294,12.075849789473
"WBGene00013489",1543.13818145037,1711.53792772246,21554.207403485,14720.3410934053,1.83434162196462e-18,3.47840566071259,2.30430453107797e-21,90.0652776158469,11.1456253604723,17.7365197795069
"WBGene00013499",223.599619534393,137.554431608788,1026.10647056347,895.046025908385,2.09129748999066e-07,2.40956590907911,2.04913264517645e-09,35.9264008567287,5.31314434970358,6.67958418379084
"WBGene00013548",126.338798481316,116.132020128731,320.471661999453,279.80884366352,0.00233433716897786,1.3069265739645,0.000247347955785795,13.4321539120981,2.47413903274139,2.63183641476412
"WBGene00013639",317.852373956963,340.503592998802,842.97980656378,749.579654584842,0.000429865745191966,1.27444467058951,2.69999211853506e-05,17.6181498599347,2.41905684371083,3.36666716122594
